"TIME","GEO","C_RESID","UNIT","NACE_R2","Value","Flag and Footnotes"
"2010","European Union - 28 countries (2013-2020)","Reporting country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","116,226,686","e"
"2010","European Union - 28 countries (2013-2020)","Reporting country","Number","Holiday and other short-stay accommodation","65,715,879","e"
"2010","European Union - 28 countries (2013-2020)","Reporting country","Number","Camping grounds, recreational vehicle parks and trailer parks","50,510,807","e"
"2010","European Union - 28 countries (2013-2020)","Reporting country","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","0.19","e"
"2010","European Union - 28 countries (2013-2020)","Reporting country","Percentage change on previous period","Hotels and similar accommodation","1.16",""
"2010","European Union - 28 countries (2013-2020)","Reporting country","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","-2.91","e"
"2010","European Union - 28 countries (2013-2020)","Reporting country","Percentage change on previous period","Holiday and other short-stay accommodation","0.11","e"
"2010","European Union - 28 countries (2013-2020)","Reporting country","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","-6.57","e"
"2010","European Union - 28 countries (2013-2020)","Total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","779,893,874","e"
"2010","European Union - 28 countries (2013-2020)","Total","Number","Hotels and similar accommodation","613,810,891",""
"2010","European Union - 28 countries (2013-2020)","Total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","166,082,983","e"
"2010","European Union - 28 countries (2013-2020)","Total","Number","Holiday and other short-stay accommodation","92,854,248","e"
"2010","European Union - 28 countries (2013-2020)","Total","Number","Camping grounds, recreational vehicle parks and trailer parks","73,228,736","e"
"2010","European Union - 28 countries (2013-2020)","Total","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2.74","e"
"2010","European Union - 28 countries (2013-2020)","Total","Percentage change on previous period","Hotels and similar accommodation","3.34",""
"2010","European Union - 28 countries (2013-2020)","Total","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","-1.46","e"
"2010","European Union - 28 countries (2013-2020)","Total","Percentage change on previous period","Holiday and other short-stay accommodation","1.17","e"
"2010","European Union - 28 countries (2013-2020)","Total","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","-4.6","e"
"2010","European Union - 27 countries (2007-2013)","Foreign country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","270,424,618","e"
"2010","European Union - 27 countries (2007-2013)","Foreign country","Number","Hotels and similar accommodation","223,341,208",""
"2010","European Union - 27 countries (2007-2013)","Foreign country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","47,083,410","e"
"2010","European Union - 27 countries (2007-2013)","Foreign country","Number","Holiday and other short-stay accommodation","26,401,622","e"
"2010","European Union - 27 countries (2007-2013)","Foreign country","Number","Camping grounds, recreational vehicle parks and trailer parks","20,681,788","e"
"2010","European Union - 27 countries (2007-2013)","Foreign country","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","8.03","e"
"2010","European Union - 27 countries (2007-2013)","Foreign country","Percentage change on previous period","Hotels and similar accommodation","7.25",""
"2010","European Union - 27 countries (2007-2013)","Foreign country","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","3.78","e"
"2010","European Union - 27 countries (2007-2013)","Foreign country","Percentage change on previous period","Holiday and other short-stay accommodation","6.99","e"
"2010","European Union - 27 countries (2007-2013)","Foreign country","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","-0.04","e"
"2010","European Union - 27 countries (2007-2013)","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","501,612,083","e"
"2010","European Union - 27 countries (2007-2013)","Reporting country","Number","Hotels and similar accommodation","385,602,939",""
"2010","European Union - 27 countries (2007-2013)","Reporting country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","116,009,144","e"
"2010","European Union - 27 countries (2007-2013)","Reporting country","Number","Holiday and other short-stay accommodation","65,544,188","e"
