TIME,GEO,C_RESID,UNIT,NACE_R2,Value,Flag and Footnotes
2010,European Union - 27 countries (from 2020),Reporting country,Percentage of total,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Reporting country,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",6.94,e
2010,European Union - 27 countries (from 2020),Reporting country,Percentage change on previous period,Hotels and similar accommodation,2.15,
2010,European Union - 27 countries (from 2020),Reporting country,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",5.46,e
2010,European Union - 27 countries (from 2020),Reporting country,Percentage change on previous period,Holiday and other short-stay accommodation,10.22,e
2010,European Union - 27 countries (from 2020),Reporting country,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",-0.94,e
2010,European Union - 27 countries (from 2020),Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,163,685,010",e
2010,European Union - 27 countries (from 2020),Total,Number,Hotels and similar accommodation,"1,416,019,293",
2010,European Union - 27 countries (from 2020),Total,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","748,420,208",e
2010,European Union - 27 countries (from 2020),Total,Number,Holiday and other short-stay accommodation,"435,066,921",e
2010,European Union - 27 countries (from 2020),Total,Number,"Camping grounds, recreational vehicle parks and trailer parks","313,353,287",e
2010,European Union - 27 countries (from 2020),Total,Per thousand inhabitants,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4,909.38",e
2010,European Union - 27 countries (from 2020),Total,Per thousand inhabitants,Hotels and similar accommodation,:,
2010,European Union - 27 countries (from 2020),Total,Per thousand inhabitants,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Total,Per thousand inhabitants,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (from 2020),Total,Per thousand inhabitants,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Total,Per square kilometre,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",509.31,e
2010,European Union - 27 countries (from 2020),Total,Per square kilometre,Hotels and similar accommodation,:,
2010,European Union - 27 countries (from 2020),Total,Per square kilometre,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Total,Per square kilometre,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (from 2020),Total,Per square kilometre,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Total,Percentage of total,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",100,e
2010,European Union - 27 countries (from 2020),Total,Percentage of total,Hotels and similar accommodation,:,
2010,European Union - 27 countries (from 2020),Total,Percentage of total,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Total,Percentage of total,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (from 2020),Total,Percentage of total,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Total,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",5.62,e
2010,European Union - 27 countries (from 2020),Total,Percentage change on previous period,Hotels and similar accommodation,3.83,
2010,European Union - 27 countries (from 2020),Total,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",3.34,e
2010,European Union - 27 countries (from 2020),Total,Percentage change on previous period,Holiday and other short-stay accommodation,6.53,e
2010,European Union - 27 countries (from 2020),Total,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",-0.79,e
2010,European Union - 28 countries (2013-2020),Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,005,797,572",
2010,European Union - 28 countries (2013-2020),Foreign country,Number,Hotels and similar accommodation,"729,182,728",
2010,European Union - 28 countries (2013-2020),Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","277,286,484",e
2010,European Union - 28 countries (2013-2020),Foreign country,Number,Holiday and other short-stay accommodation,"157,615,185",e
2010,European Union - 28 countries (2013-2020),Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks","119,671,300",e
2010,European Union - 28 countries (2013-2020),Foreign country,Per thousand inhabitants,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Foreign country,Per thousand inhabitants,Hotels and similar accommodation,:,
2010,European Union - 28 countries (2013-2020),Foreign country,Per thousand inhabitants,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Foreign country,Per thousand inhabitants,Holiday and other short-stay accommodation,:,
2010,European Union - 28 countries (2013-2020),Foreign country,Per thousand inhabitants,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Foreign country,Per square kilometre,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Foreign country,Per square kilometre,Hotels and similar accommodation,:,
2010,European Union - 28 countries (2013-2020),Foreign country,Per square kilometre,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Foreign country,Per square kilometre,Holiday and other short-stay accommodation,:,
2010,European Union - 28 countries (2013-2020),Foreign country,Per square kilometre,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Foreign country,Percentage of total,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",41.95,
2010,European Union - 28 countries (2013-2020),Foreign country,Percentage of total,Hotels and similar accommodation,:,
2010,European Union - 28 countries (2013-2020),Foreign country,Percentage of total,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Foreign country,Percentage of total,Holiday and other short-stay accommodation,:,
2010,European Union - 28 countries (2013-2020),Foreign country,Percentage of total,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Foreign country,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",4.09,
2010,European Union - 28 countries (2013-2020),Foreign country,Percentage change on previous period,Hotels and similar accommodation,6.09,
2010,European Union - 28 countries (2013-2020),Foreign country,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",-0.59,e
2010,European Union - 28 countries (2013-2020),Foreign country,Percentage change on previous period,Holiday and other short-stay accommodation,-0.43,e
2010,European Union - 28 countries (2013-2020),Foreign country,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",-0.79,e
2010,European Union - 28 countries (2013-2020),Reporting country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,392,058,582",e
2010,European Union - 28 countries (2013-2020),Reporting country,Number,Hotels and similar accommodation,"842,126,661",
2010,European Union - 28 countries (2013-2020),Reporting country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","549,931,921",e
2010,European Union - 28 countries (2013-2020),Reporting country,Number,Holiday and other short-stay accommodation,"304,914,177",e
2010,European Union - 28 countries (2013-2020),Reporting country,Number,"Camping grounds, recreational vehicle parks and trailer parks","245,017,744",e
2010,European Union - 28 countries (2013-2020),Reporting country,Per thousand inhabitants,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Reporting country,Per thousand inhabitants,Hotels and similar accommodation,:,
2010,European Union - 28 countries (2013-2020),Reporting country,Per thousand inhabitants,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Reporting country,Per thousand inhabitants,Holiday and other short-stay accommodation,:,
2010,European Union - 28 countries (2013-2020),Reporting country,Per thousand inhabitants,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Reporting country,Per square kilometre,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Reporting country,Per square kilometre,Hotels and similar accommodation,:,
2010,European Union - 28 countries (2013-2020),Reporting country,Per square kilometre,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Reporting country,Per square kilometre,Holiday and other short-stay accommodation,:,
2010,European Union - 28 countries (2013-2020),Reporting country,Per square kilometre,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Reporting country,Percentage of total,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",58.05,e
2010,European Union - 28 countries (2013-2020),Reporting country,Percentage of total,Hotels and similar accommodation,:,
2010,European Union - 28 countries (2013-2020),Reporting country,Percentage of total,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Reporting country,Percentage of total,Holiday and other short-stay accommodation,:,
2010,European Union - 28 countries (2013-2020),Reporting country,Percentage of total,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Reporting country,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",3.56,e
2010,European Union - 28 countries (2013-2020),Reporting country,Percentage change on previous period,Hotels and similar accommodation,-0.01,
2010,European Union - 28 countries (2013-2020),Reporting country,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",2.18,e
2010,European Union - 28 countries (2013-2020),Reporting country,Percentage change on previous period,Holiday and other short-stay accommodation,8.99,e
2010,European Union - 28 countries (2013-2020),Reporting country,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",-5.2,e
2010,European Union - 28 countries (2013-2020),Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,397,856,154",e
2010,European Union - 28 countries (2013-2020),Total,Number,Hotels and similar accommodation,"1,571,309,389",
2010,European Union - 28 countries (2013-2020),Total,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","827,218,405",e
2010,European Union - 28 countries (2013-2020),Total,Number,Holiday and other short-stay accommodation,"462,529,362",e
2010,European Union - 28 countries (2013-2020),Total,Number,"Camping grounds, recreational vehicle parks and trailer parks","364,689,044",e
2010,European Union - 28 countries (2013-2020),Total,Per thousand inhabitants,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4,764.88",e
2010,European Union - 28 countries (2013-2020),Total,Per thousand inhabitants,Hotels and similar accommodation,:,
2010,European Union - 28 countries (2013-2020),Total,Per thousand inhabitants,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Total,Per thousand inhabitants,Holiday and other short-stay accommodation,:,
2010,European Union - 28 countries (2013-2020),Total,Per thousand inhabitants,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Total,Per square kilometre,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",533.23,e
2010,European Union - 28 countries (2013-2020),Total,Per square kilometre,Hotels and similar accommodation,:,
2010,European Union - 28 countries (2013-2020),Total,Per square kilometre,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Total,Per square kilometre,Holiday and other short-stay accommodation,:,
2010,European Union - 28 countries (2013-2020),Total,Per square kilometre,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Total,Percentage of total,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",100,e
2010,European Union - 28 countries (2013-2020),Total,Percentage of total,Hotels and similar accommodation,:,
2010,European Union - 28 countries (2013-2020),Total,Percentage of total,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Total,Percentage of total,Holiday and other short-stay accommodation,:,
2010,European Union - 28 countries (2013-2020),Total,Percentage of total,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 28 countries (2013-2020),Total,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",3.78,e
2010,European Union - 28 countries (2013-2020),Total,Percentage change on previous period,Hotels and similar accommodation,2.73,
2010,European Union - 28 countries (2013-2020),Total,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",1.23,e
2010,European Union - 28 countries (2013-2020),Total,Percentage change on previous period,Holiday and other short-stay accommodation,5.59,e
2010,European Union - 28 countries (2013-2020),Total,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",-3.8,e
2010,European Union - 27 countries (2007-2013),Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","972,562,690",
2010,European Union - 27 countries (2007-2013),Foreign country,Number,Hotels and similar accommodation,"712,171,234",
2010,European Union - 27 countries (2007-2013),Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","261,035,409",e
2010,European Union - 27 countries (2007-2013),Foreign country,Number,Holiday and other short-stay accommodation,"154,830,785",e
2010,European Union - 27 countries (2007-2013),Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks","106,204,624",e
2010,European Union - 27 countries (2007-2013),Foreign country,Per thousand inhabitants,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Foreign country,Per thousand inhabitants,Hotels and similar accommodation,:,
2010,European Union - 27 countries (2007-2013),Foreign country,Per thousand inhabitants,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Foreign country,Per thousand inhabitants,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (2007-2013),Foreign country,Per thousand inhabitants,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Foreign country,Per square kilometre,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Foreign country,Per square kilometre,Hotels and similar accommodation,:,
2010,European Union - 27 countries (2007-2013),Foreign country,Per square kilometre,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Foreign country,Per square kilometre,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (2007-2013),Foreign country,Per square kilometre,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Foreign country,Percentage of total,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",41.19,
2010,European Union - 27 countries (2007-2013),Foreign country,Percentage of total,Hotels and similar accommodation,:,
2010,European Union - 27 countries (2007-2013),Foreign country,Percentage of total,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Foreign country,Percentage of total,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (2007-2013),Foreign country,Percentage of total,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Foreign country,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",4.29,
2010,European Union - 27 countries (2007-2013),Foreign country,Percentage change on previous period,Hotels and similar accommodation,6.1,
2010,European Union - 27 countries (2007-2013),Foreign country,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",-0.09,e
2010,European Union - 27 countries (2007-2013),Foreign country,Percentage change on previous period,Holiday and other short-stay accommodation,0.51,e
2010,European Union - 27 countries (2007-2013),Foreign country,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",-0.95,e
2010,European Union - 27 countries (2007-2013),Reporting country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,388,322,298",e
2010,European Union - 27 countries (2007-2013),Reporting country,Number,Hotels and similar accommodation,"839,793,455",
2010,European Union - 27 countries (2007-2013),Reporting country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","548,528,843",e
2010,European Union - 27 countries (2007-2013),Reporting country,Number,Holiday and other short-stay accommodation,"303,851,146",e
2010,European Union - 27 countries (2007-2013),Reporting country,Number,"Camping grounds, recreational vehicle parks and trailer parks","244,677,697",e
2010,European Union - 27 countries (2007-2013),Reporting country,Per thousand inhabitants,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Reporting country,Per thousand inhabitants,Hotels and similar accommodation,:,
2010,European Union - 27 countries (2007-2013),Reporting country,Per thousand inhabitants,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Reporting country,Per thousand inhabitants,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (2007-2013),Reporting country,Per thousand inhabitants,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Reporting country,Per square kilometre,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Reporting country,Per square kilometre,Hotels and similar accommodation,:,
2010,European Union - 27 countries (2007-2013),Reporting country,Per square kilometre,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Reporting country,Per square kilometre,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (2007-2013),Reporting country,Per square kilometre,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Reporting country,Percentage of total,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",58.81,e
2010,European Union - 27 countries (2007-2013),Reporting country,Percentage of total,Hotels and similar accommodation,:,
2010,European Union - 27 countries (2007-2013),Reporting country,Percentage of total,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Reporting country,Percentage of total,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (2007-2013),Reporting country,Percentage of total,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Reporting country,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",3.6,e
2010,European Union - 27 countries (2007-2013),Reporting country,Percentage change on previous period,Hotels and similar accommodation,0.01,
2010,European Union - 27 countries (2007-2013),Reporting country,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",2.19,e
2010,European Union - 27 countries (2007-2013),Reporting country,Percentage change on previous period,Holiday and other short-stay accommodation,9.01,e
2010,European Union - 27 countries (2007-2013),Reporting country,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",-5.18,e
2010,European Union - 27 countries (2007-2013),Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,360,884,988",e
2010,European Union - 27 countries (2007-2013),Total,Number,Hotels and similar accommodation,"1,551,964,689",
2010,European Union - 27 countries (2007-2013),Total,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","809,564,252",e
2010,European Union - 27 countries (2007-2013),Total,Number,Holiday and other short-stay accommodation,"458,681,931",e
2010,European Union - 27 countries (2007-2013),Total,Number,"Camping grounds, recreational vehicle parks and trailer parks","350,882,321",e
2010,European Union - 27 countries (2007-2013),Total,Per thousand inhabitants,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4,730.28",e
2010,European Union - 27 countries (2007-2013),Total,Per thousand inhabitants,Hotels and similar accommodation,:,
2010,European Union - 27 countries (2007-2013),Total,Per thousand inhabitants,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Total,Per thousand inhabitants,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (2007-2013),Total,Per thousand inhabitants,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Total,Per square kilometre,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",535.45,e
2010,European Union - 27 countries (2007-2013),Total,Per square kilometre,Hotels and similar accommodation,:,
2010,European Union - 27 countries (2007-2013),Total,Per square kilometre,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Total,Per square kilometre,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (2007-2013),Total,Per square kilometre,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Total,Percentage of total,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",100,e
2010,European Union - 27 countries (2007-2013),Total,Percentage of total,Hotels and similar accommodation,:,
2010,European Union - 27 countries (2007-2013),Total,Percentage of total,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Total,Percentage of total,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (2007-2013),Total,Percentage of total,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (2007-2013),Total,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",3.89,e
2010,European Union - 27 countries (2007-2013),Total,Percentage change on previous period,Hotels and similar accommodation,2.71,
